Age,Area,CreditAvlb,Firsthand,FloorCount,FloorNumber,Frontage,Fuel,Furniture,MaintenanceFee,Price,Room,Town,Heating_num
8,130,2,1,3,1.0,0,3,0,0,265000,4,6,5
11,125,2,1,3,1.0,1,3,0,0,270000,4,6,5
0,305,2,2,4,2.0,0,3,0,1000,1950000,5,9,7
0,210,2,2,3,3.0,1,3,0,50,515000,5,9,5
0,230,2,2,27,15.0,1,3,0,150,720000,5,6,7
0,245,2,2,31,6.0,1,3,0,300,745000,5,6,7
5,185,2,1,12,11.0,1,3,0,0,839000,5,7,7
2,135,2,2,9,9.0,1,3,0,75,430000,4,3,5
0,190,2,1,10,7.0,0,3,0,0,439000,5,5,5
4,90,2,1,14,14.0,0,3,1,185,334000,3,7,7
2,180,2,1,33,2.0,1,3,0,375,665000,5,8,7
0,145,2,2,12,1.0,1,3,0,100,245000,4,3,5
0,200,2,2,28,5.0,0,3,0,0,815000,5,10,7
1,190,2,2,12,3.0,1,3,0,250,799000,5,7,7
8,400,2,1,22,21.0,0,3,0,350,1750000,6,9,6
15,200,2,1,23,5.0,1,3,0,0,725000,5,7,5
1,225,2,2,34,21.0,0,3,0,600,1675000,5,9,7
9,300,2,1,4,4.0,1,3,0,50,549000,5,9,5
5,90,2,1,14,0.5,1,3,0,230,305000,3,7,7
7,85,2,1,13,8.0,1,3,0,117,141000,3,7,7
0,180,2,2,4,4.0,0,3,0,0,1050000,5,9,5
16,185,2,1,7,4.0,0,3,0,450,835000,5,9,6
1,220,2,2,24,4.0,1,3,0,200,1350000,5,9,7
10,130,2,1,3,3.0,0,3,0,20,189000,4,6,5
19,130,2,2,7,3.0,1,3,0,400,525000,4,9,6
0,115,2,2,4,4.0,1,3,0,150,950000,4,9,5
0,176,2,2,7,3.0,1,3,0,0,765000,5,10,5
0,135,2,2,11,9.0,1,3,0,0,480000,5,3,5
0,280,2,2,13,12.0,1,3,0,75,750000,6,3,5
12,145,2,1,8,0.5,1,3,1,100,333000,4,7,5
4,196,2,1,13,10.0,1,3,0,580,1175000,5,9,7
5,255,2,1,4,4.0,1,3,0,60,420000,5,3,5
1,70,2,2,10,4.0,1,3,0,215,290000,2,8,7
0,220,2,2,2,2.0,0,3,0,55,515000,5,9,5
18,128,2,1,9,5.0,1,3,0,100,319000,4,9,5
3,110,2,1,3,1.0,1,3,0,40,300000,3,6,5
18,150,2,1,13,2.0,1,3,0,400,430000,4,8,6
3,135,2,1,3,3.0,0,3,0,40,398000,4,7,5
7,137,2,1,6,0.0,1,3,0,160,170000,4,7,7
0,195,2,2,28,1.0,0,3,0,250,775000,5,6,7
0,155,2,2,3,3.0,1,3,0,150,805000,4,9,5
1,190,2,2,10,10.0,1,3,0,0,799000,5,7,7
0,89,2,2,12,4.0,1,3,0,120,275000,3,7,7
0,135,2,2,3,2.0,1,3,0,35,285000,4,4,5
21,135,2,1,14,2.0,1,3,0,450,625000,4,9,7
15,160,2,1,4,2.0,1,3,0,50,575000,4,9,5
10,140,2,1,4,3.0,1,3,0,50,295000,4,6,5
22,125,2,2,3,3.0,1,3,0,50,389000,4,9,5
7,94,2,1,13,1.0,1,3,0,117,130000,3,7,7
25,125,2,1,3,3.0,1,3,0,30,298000,4,9,5
15,175,2,1,4,2.0,0,3,0,60,510000,4,9,5
14,155,2,1,4,1.0,1,3,0,100,317000,4,9,5
5,110,2,1,3,1.0,0,3,0,40,160000,3,6,5
0,180,2,2,5,2.0,1,3,0,50,460000,5,8,5
15,300,2,1,4,0.75,0,3,0,100,715000,8,7,5
7,120,2,1,2,2.0,1,3,0,0,229000,3,5,5
10,130,2,1,4,0.0,1,3,0,30,190000,4,3,5
0,270,2,1,4,4.0,0,3,0,60,795000,6,8,5
16,320,2,1,5,0.5,1,3,0,150,750000,6,9,5
18,180,2,1,8,1.0,1,3,0,0,1050000,5,6,6
13,145,2,1,4,1.0,1,3,0,60,550000,4,9,5
0,400,2,2,9,9.0,0,3,0,100,750000,7,7,5
14,125,2,1,3,2.0,1,3,0,50,310000,4,6,5
0,100,2,2,9,0.0,1,3,0,0,229000,3,5,7
0,145,2,2,3,1.0,1,3,0,50,385000,5,6,5
14,125,2,1,4,0.5,1,3,0,30,275000,4,9,5
0,185,2,2,5,1.0,1,3,0,50,440000,5,8,5
10,135,2,1,4,3.0,1,3,0,50,268000,4,6,5
0,175,2,2,5,2.0,1,3,0,100,700000,5,9,5
8,130,2,1,3,2.0,1,3,1,30,285000,4,2,5
4,200,2,1,29,20.0,1,3,0,350,1150000,5,7,7
1,100,2,2,12,7.0,0,3,0,0,549000,3,7,7
0,130,2,2,3,2.0,0,3,0,0,530000,4,6,5
0,204,2,2,31,6.0,1,3,0,0,1300000,5,9,7
13,220,2,1,3,3.0,1,3,0,0,260000,6,3,5
3,165,2,1,5,3.0,1,3,0,0,230000,4,1,5
9,146,2,1,4,1.0,0,3,0,70,262000,4,9,5
10,100,2,1,3,0.25,1,3,0,0,85000,3,1,5
0,230,2,2,33,12.0,1,3,0,570,1300000,6,10,7
0,170,2,2,3,3.0,1,3,0,0,620000,4,9,5
6,190,2,1,3,3.0,1,3,0,45,315000,6,3,5
13,150,2,1,6,1.0,1,3,0,50,525000,4,9,5
14,185,2,1,3,3.0,1,3,0,40,450000,5,6,5
12,135,2,1,9,2.0,0,3,0,150,293000,4,7,5
9,146,2,1,4,1.0,0,3,0,70,262000,4,9,5
0,120,2,2,4,0.0,1,3,0,30,300000,4,6,5
4,210,2,1,10,6.0,1,3,0,0,780000,5,7,7
